statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;96.9;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;1.4;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;0.4;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;97.2;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;1.5;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;0.5;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2015;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;95.0;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2015;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;0.7;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2015;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;-0.1;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;95.1;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;1.6;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2017;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;-0.5;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;98.1;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;1.4;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;0.4;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;96.7;2020=100;PREIS1;Consumer price index
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;1.2;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2018;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;0.3;%;PREIS1;in
61111;Consumer price index for Germany;JAHR;Year;2015;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;94.9;2020=100;PREIS1;Consumer price index
